anio,precio_usd,tipo_cambio,ipc,precio_soles_corrientes,precio_target,distrito,superficie,habitaciones,banos,garajes,piso,vista_exterior,antiguedad
2018,134000.0,3.238480555555556,128.01399333333333,433956.39444444445,338991.3736340317,Bellavista,94.0,3.0,2.5,0,3,1,0
2018,60000.0,3.238480555555556,128.01399333333333,194308.83333333334,151787.18222419333,Bellavista,60.0,2.0,1.0,1,5,1,20
2018,83000.0,3.238480555555556,128.01399333333333,268793.88611111115,209972.26874346743,Bellavista,85.0,3.0,1.0,0,5,1,20
2018,85000.0,3.238480555555556,128.01399333333333,275270.84722222225,215031.84148427384,Bellavista,88.0,2.0,1.0,0,2,0,10
2018,80000.0,3.238480555555556,128.01399333333333,259078.44444444447,202382.90963225774,Bellavista,87.0,3.0,2.0,1,4,1,0
2018,90000.0,3.238480555555556,128.01399333333333,291463.25,227680.77333628995,Bellavista,103.0,3.0,2.0,0,1,0,15
2018,69900.0,3.238480555555556,128.01399333333333,226369.79083333336,176832.06729118523,Bellavista,79.3,2.0,2.0,0,1,1,10
2018,42000.0,3.238480555555556,128.01399333333333,136016.18333333335,106251.02755693533,Bellavista,66.0,2.0,1.0,0,2,0,20
2018,76000.0,3.238480555555556,128.01399333333333,246124.52222222224,192263.76415064489,Breña,68.0,2.0,1.0,0,1,0,50
2018,75000.0,3.238480555555556,128.01399333333333,242886.0416666667,189733.97778024164,Breña,75.0,3.0,2.0,0,3,0,8
2018,73000.0,3.238480555555556,128.01399333333333,236409.08055555559,184674.40503943522,Breña,65.0,3.0,2.0,0,6,1,3
2018,90000.0,3.238480555555556,128.01399333333333,291463.25,227680.77333628995,Breña,85.0,3.0,2.0,0,2,1,10
2018,90826.0,3.238480555555556,128.01399333333333,294138.2349388889,229770.37687824306,Breña,84.0,3.0,2.0,0,9,1,6
2018,59700.0,3.238480555555556,128.01399333333333,193337.28916666668,151028.24631307236,Breña,59.72,2.0,2.0,0,1,0,0
2018,77000.0,3.238480555555556,128.01399333333333,249363.0027777778,194793.55052104808,Breña,77.0,3.0,1.0,0,0,1,15
2018,90000.0,3.238480555555556,128.01399333333333,291463.25,227680.77333628995,Breña,88.0,3.0,2.0,0,8,1,4
2018,90000.0,3.238480555555556,128.01399333333333,291463.25,227680.77333628995,Breña,72.0,3.0,2.0,0,3,1,4
2018,49000.0,3.238480555555556,128.01399333333333,158685.54722222223,123959.53214975787,Breña,55.0,2.0,1.0,0,0,1,5
2018,110000.0,3.238480555555556,128.01399333333333,356232.8611111111,278276.50074435445,Breña,72.0,3.0,2.0,0,0,1,3
2018,68000.0,3.238480555555556,128.01399333333333,220216.6777777778,172025.47318741912,Breña,52.0,2.0,2.0,1,2,1,0
2018,155000.0,3.238480555555556,128.01399333333333,501964.4861111111,392116.88741249935,Breña,155.0,5.0,3.0,0,1,0,20
2018,79000.0,3.238480555555556,128.01399333333333,255839.96388888892,199853.12326185455,Breña,74.0,3.0,2.0,0,5,1,2
2018,145000.0,3.238480555555556,128.01399333333333,469579.6805555556,366819.0237084672,Breña,180.0,4.0,2.0,0,4,0,1
2018,55000.0,3.238480555555556,128.01399333333333,178116.43055555556,139138.25037217722,Breña,49.9,1.0,1.0,0,2,1,30
2018,284700.0,3.238480555555556,128.01399333333333,921995.4141666667,720230.1796537972,Breña,68.0,3.0,2.0,0,2,1,0
2018,119000.0,3.238480555555556,128.01399333333333,385379.18611111114,301044.5780779834,Breña,80.0,3.0,2.0,0,4,0,1
2018,50000.0,3.238480555555556,128.01399333333333,161924.02777777778,126489.3185201611,Breña,55.0,2.0,1.0,0,4,1,4
2018,75000.0,3.238480555555556,128.01399333333333,242886.0416666667,189733.97778024164,Breña,75.0,3.0,2.0,0,3,1,8
